Port Name;State;Port Code;Border;Longitud;Latitud;Mes;Year;Measure;Value
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2007;Pedestrians;698318
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;12;2008;Trucks;47186
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2004;Trains;63
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;2019;Truck Containers Empty;16411
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;11;2020;Rail Containers Empty;3523
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1;1996;Rail Containers Loaded;515
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2009;Personal Vehicles;860488
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2015;Personal Vehicle Passengers;1717074
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2001;Rail Containers Loaded;1289
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2013;Truck Containers Loaded;33491
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;12;2009;Train Passengers;0
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2006;Personal Vehicle Passengers;2121952
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;5;2000;Trains;87
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;6;1996;Personal Vehicle Passengers;3551457
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2005;Train Passengers;690
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2005;Truck Containers Loaded;33810
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2006;Buses;1557
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;1997;Trucks;39636
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2002;Trains;53
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2001;Personal Vehicles;1533673
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2008;Truck Containers Empty;29071
